co,route,orig_tc,orig_en,dest_tc,dest_en,orig_sc,dest_sc,data_timestamp
CTB,619,中環 (港澳碼頭),Central (Macau Ferry),順利邨,Shun Lee Estate,中环 (港澳码头),顺利邨,2020-05-22T05:00:02+08:00
CTB,619P,順利邨,Shun Lee Estate,中環 (港澳碼頭),Central (Macau Ferry),顺利邨,中环 (港澳码头),2020-05-22T05:00:02+08:00
CTB,619X,順利邨,Shun Lee Estate,中環 (港澳碼頭),Central (Macau Ferry),顺利邨,中环 (港澳码头),2020-05-22T05:00:02+08:00
CTB,61R,沙田第一城,City One Shatin,藍田站,Lam Tin Station,沙田第一城,蓝田站,2020-05-22T05:00:02+08:00
CTB,621,麗港城,Laguna City,中環 (香港站),Central (Hong Kong Station),丽港城,中环 (香港站),2020-05-22T05:00:02+08:00
CTB,629,中環 (天星碼頭),Central (Star Ferry),海洋公園,Ocean Park,中环 (天星码头),海洋公园,2020-05-22T05:00:02+08:00
CTB,671,鴨脷洲 (利樂街),Ap Lei Chau (Lee Lok Street),鑽石山站,Diamond Hill Station,鸭脷洲 (利乐街),钻石山站,2020-05-22T05:00:02+08:00
CTB,678,上水,Sheung Shui,銅鑼灣 (東院道),Causeway Bay (Eastern Hospital Road),上水,铜锣湾 (东院道),2020-05-22T05:00:02+08:00
CTB,681,中環 (香港站),Central (Hong Kong Station),馬鞍山市中心,Ma On Shan Town Centre,中环 (香港站),马鞍山市中心,2020-05-22T05:00:02+08:00
CTB,681P,馬鞍山 (耀安邨),Ma On Shan (Yiu On Estate),上環,Sheung Wan,马鞍山 (耀安邨),上环,2020-05-22T05:00:02+08:00
CTB,690,中環 (交易廣場),Central (Exchange Square),將軍澳 (康盛花園),Tseung Kwan O (Hong Sing Garden),中环 (交易广场),将军澳 (康盛花园),2020-05-22T05:00:02+08:00
CTB,690P,將軍澳 (康盛花園),Tseung Kwan O (Hong Sing Garden),中環 (交易廣場),Central (Exchange Square),将军澳 (康盛花园),中环 (交易广场),2020-05-22T05:00:02+08:00
CTB,6A,中環 (交易廣場),Central (Exchange Square),赤柱炮台 (閘口),Stanley Fort (Gate),中环 (交易广场),赤柱炮台 (闸口),2020-05-22T05:00:02+08:00
CTB,6X,中環 (交易廣場),Central (Exchange Square),赤柱市場,Stanley Market,中环 (交易广场),赤柱市场,2020-05-22T05:00:02+08:00
CTB,7,石排灣,Shek Pai Wan,中環碼頭,Central (Ferry Piers),石排湾,中环码头,2020-05-22T05:00:02+08:00
CTB,70,華貴,Wah Kwai,中環 (交易廣場),Central (Exchange Square),华贵,中环 (交易广场),2020-05-22T05:00:02+08:00
CTB,70A,中環 (交易廣場),Central (Exchange Square),香港仔,Aberdeen,中环 (交易广场),香港仔,2020-05-22T05:00:02+08:00
CTB,70P,石排灣,Shek Pai Wan,中環 (交易廣場),Central (Exchange Square),石排湾,中环 (交易广场),2020-05-22T05:00:02+08:00
CTB,71,黃竹坑,Wong Chuk Hang,中環 (林士街),Central (Rumsey Street),黄竹坑,中环 (林士街),2020-05-22T05:00:02+08:00
CTB,71P,深灣,Sham Wan,中環碼頭,Central (Ferry Piers),深湾,中环码头,2020-05-22T05:00:02+08:00
CTB,72,華貴邨,Wah Kwai Estate,銅鑼灣 (摩頓台),Causeway Bay (Moreton Terrace),华贵邨,铜锣湾 (摩顿台),2020-05-22T05:00:02+08:00
CTB,72A,深灣,Sham Wan,銅鑼灣 (摩頓台),Causeway Bay (Moreton Terrace),深湾,铜锣湾 (摩顿台),2020-05-22T05:00:02+08:00
CTB,72S,銅鑼灣 (摩頓台),Causeway Bay (Moreton Terrace),華貴邨,Wah Kwai Estate,铜锣湾 (摩顿台),华贵邨,2020-05-22T05:00:02+08:00
CTB,73,數碼港／華富 (北),Cyberport / Wah Fu (North),赤柱市場,Stanley Market,数码港／华富 (北),赤柱市场,2020-05-22T05:00:02+08:00
